data_name	note_id	measure	beat	offset	absolute_time	end_time	pitch	pitch_midi	octave	duration	time_from_prev	time_to_next	fingering	string	pluck	fret
Carcassi etude1	0	1	1	0	0	0.5	C3	48	3	1	0	0.25	3	5		3
Carcassi etude1	1	1	1.5	0.5	0.25	0.5	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	2	1	2	1	0.5	0.75	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	3	1	2.5	1.5	0.75	1	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	4	1	3	2	1	1.25	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	5	1	3.5	2.5	1.25	1.5	F3	53	3	0.5	0.25	0.25	4	4		3
Carcassi etude1	6	1	4	3	1.5	1.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	7	1	4.5	3.5	1.75	2	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	8	2	1	4	2	2.5	C3	48	3	1	0.25	0.25	3	5		3
Carcassi etude1	9	2	1.5	4.5	2.25	2.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	10	2	2	5	2.5	2.75	D4	62	4	0.5	0.25	0.25	4	2		3
Carcassi etude1	11	2	2.5	5.5	2.75	3	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	12	2	3	6	3	3.25	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	13	2	3.5	6.5	3.25	3.5	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	14	2	4	7	3.5	3.75	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	15	2	4.5	7.5	3.75	4	F3	53	3	0.5	0.25	0.25	4	4		3
Carcassi etude1	16	3	1	8	4	4.5	E3	52	3	1	0.25	0.25	2	4		2
Carcassi etude1	17	3	1.5	8.5	4.25	4.5	G4	67	4	0.5	0.25	0.25	4	1		3
Carcassi etude1	18	3	2	9	4.5	4.75	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	19	3	2.5	9.5	4.75	5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	20	3	3	10	5	5.25	D4	62	4	0.5	0.25	0.25	3	2		3
Carcassi etude1	21	3	3.5	10.5	5.25	5.5	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	22	3	4	11	5.5	5.75	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	23	3	4.5	11.5	5.75	6	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	24	4	1	12	6	6.25	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	25	4	1.5	12.5	6.25	6.5	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	26	4	2	13	6.5	6.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	27	4	2.5	13.5	6.75	7	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	28	4	3	14	7	7.25	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	29	4	3.5	14.5	7.25	7.5	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	30	4	4	15	7.5	7.75	A2	45	2	0.5	0.25	0.25	0	5		0
Carcassi etude1	31	4	4.5	15.5	7.75	8	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	32	5	1	16	8	8.5	G2	43	2	1	0.25	0.25	3	6		3
Carcassi etude1	33	5	1.5	16.5	8.25	8.5	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	34	5	2	17	8.5	8.75	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	35	5	2.5	17.5	8.75	9	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	36	5	3	18	9	9.25	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	37	5	3.5	18.5	9.25	9.5	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	38	5	4	19	9.5	9.75	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	39	5	4.5	19.5	9.75	10	A2	45	2	0.5	0.25	0.25	0	5		0
Carcassi etude1	40	6	1	20	10	10.5	G2	43	2	1	0.25	0.25	3	6		3
Carcassi etude1	41	6	1.5	20.5	10.25	10.5	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	42	6	2	21	10.5	10.75	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	43	6	2.5	21.5	10.75	11	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	44	6	3	22	11	11.25	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	45	6	3.5	22.5	11.25	11.5	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	46	6	4	23	11.5	11.75	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	47	6	4.5	23.5	11.75	12	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	48	7	1	24	12	12.5	B2	47	2	1	0.25	0.25	2	5		2
Carcassi etude1	49	7	1.5	24.5	12.25	12.5	D4	62	4	0.5	0.25	0.25	4	2		3
Carcassi etude1	50	7	2	25	12.5	12.75	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	51	7	2.5	25.5	12.75	13	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	52	7	3	26	13	13.25	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	53	7	3.5	26.5	13.25	13.5	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	54	7	4	27	13.5	13.75	F3	53	3	0.5	0.25	0.25	4	4		3
Carcassi etude1	55	7	4.5	27.5	13.75	14	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	56	8	1	28	14	14.25	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	57	8	1.5	28.5	14.25	14.5	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	58	8	2	29	14.5	14.75	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	59	8	2.5	29.5	14.75	15	A2	45	2	0.5	0.25	0.25	0	5		0
Carcassi etude1	60	8	3	30	15	15.25	G2	43	2	0.5	0.25	0.25	3	6		3
Carcassi etude1	61	8	3.5	30.5	15.25	15.5	F3	53	3	0.5	0.25	0.25	4	4		3
Carcassi etude1	62	8	4	31	15.5	15.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	63	8	4.5	31.5	15.75	16	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	64	9	1	32	16	16.5	C3	48	3	1	0.25	0.25	3	5		3
Carcassi etude1	65	9	1.5	32.5	16.25	16.5	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	66	9	2	33	16.5	16.75	D4	62	4	0.5	0.25	0.25	4	2		3
Carcassi etude1	67	9	2.5	33.5	16.75	17	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	68	9	3	34	17	17.25	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	69	9	3.5	34.5	17.25	17.5	G4	67	4	0.5	0.25	0.25	3	1		3
Carcassi etude1	70	9	4	35	17.5	17.75	A4	69	4	0.5	0.25	0.25	1	1		5
Carcassi etude1	71	9	4.5	35.5	17.75	18	B4	71	4	0.5	0.25	0.25	3	1		7
Carcassi etude1	72	10	1	36	18	18.25	C5	72	5	0.5	0.25	0.25	4	1		8
Carcassi etude1	73	10	1.5	36.5	18.25	18.5	B4	71	4	0.5	0.25	0.25	3	1		7
Carcassi etude1	74	10	2	37	18.5	18.75	A4	69	4	0.5	0.25	0.25	1	1		5
Carcassi etude1	75	10	2.5	37.5	18.75	19	G4	67	4	0.5	0.25	0.25	3	1		3
Carcassi etude1	76	10	3	38	19	19.25	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	77	10	3.5	38.5	19.25	19.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	78	10	4	39	19.5	19.75	D4	62	4	0.5	0.25	0.25	4	2		3
Carcassi etude1	79	10	4.5	39.5	19.75	20	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	80	11	1	40	20	20.25	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	81	11	1.5	40.5	20.25	20.5	E2	40	2	0.5	0.25	0.25	0	6		0
Carcassi etude1	82	11	2	41	20.5	20.75	F#2	42	2	0.5	0.25	0.25	2	6		2
Carcassi etude1	83	11	2.5	41.5	20.75	21	G#2	44	2	0.5	0.25	0.25	4	6		4
Carcassi etude1	84	11	3	42	21	21.25	A2	45	2	0.5	0.25	0.25	0	5		0
Carcassi etude1	85	11	3.5	42.5	21.25	21.5	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	86	11	4	43	21.5	21.75	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	87	11	4.5	43.5	21.75	22	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	88	12	1	44	22	22.25	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	89	12	1.5	44.5	22.25	22.5	D#3	51	3	0.5	0.25	0.25	1	4		1
Carcassi etude1	90	12	2	45	22.5	22.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	91	12	2.5	45.5	22.75	23	F3	53	3	0.5	0.25	0.25	3	4		3
Carcassi etude1	92	12	3	46	23	23.25	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	93	12	3.5	46.5	23.25	23.5	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	94	12	4	47	23.5	23.75	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	95	12	4.5	47.5	23.75	24	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	96	13	1	48	24	24.5	A2	45	2	1	0.25	0.25	0	5		0
Carcassi etude1	97	13	1.5	48.5	24.25	24.5	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	98	13	2	49	24.5	24.75	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	99	13	2.5	49.5	24.75	25	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	100	13	3	50	25	25.25	D4	62	4	0.5	0.25	0.25	3	2		3
Carcassi etude1	101	13	3.5	50.5	25.25	25.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	102	13	4	51	25.5	25.75	F#4	66	4	0.5	0.25	0.25	1	1		2
Carcassi etude1	103	13	4.5	51.5	25.75	26	G#4	68	4	0.5	0.25	0.25	3	1		4
Carcassi etude1	104	14	1	52	26	26.25	A4	69	4	0.5	0.25	0.25	4	1		5
Carcassi etude1	105	14	1.5	52.5	26.25	26.5	G4	67	4	0.5	0.25	0.25	2	1		3
Carcassi etude1	106	14	2	53	26.5	26.75	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	107	14	2.5	53.5	26.75	27	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	108	14	3	54	27	27.25	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	109	14	3.5	54.5	27.25	27.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	110	14	4	55	27.5	27.75	D4	62	4	0.5	0.25	0.25	3	2		3
Carcassi etude1	111	14	4.5	55.5	27.75	28	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	112	15	1	56	28	28.25	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	113	15	1.5	56.5	28.25	28.5	G2	43	2	0.5	0.25	0.25	3	6		3
Carcassi etude1	114	15	2	57	28.5	28.75	A2	45	2	0.5	0.25	0.25	0	5		0
Carcassi etude1	115	15	2.5	57.5	28.75	29	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	116	15	3	58	29	29.25	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	117	15	3.5	58.5	29.25	29.5	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	118	15	4	59	29.5	29.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	119	15	4.5	59.5	29.75	30	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	120	16	1	60	30	30.25	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	121	16	1.5	60.5	30.25	30.5	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	122	16	2	61	30.5	30.75	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	123	16	2.5	61.5	30.75	31	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	124	16	3	62	31	31.25	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	125	16	3.5	62.5	31.25	31.5	F3	53	3	0.5	0.25	0.25	3	4		3
Carcassi etude1	126	16	4	63	31.5	31.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	127	16	4.5	63.5	31.75	32	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	128	17	1	64	32	32.25	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	129	17	1.5	64.5	32.25	32.5	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	130	17	2	65	32.5	32.75	D4	62	4	0.5	0.25	0.25	3	2		3
Carcassi etude1	131	17	2.5	65.5	32.75	33	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	132	17	3	66	33	33.25	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	133	17	3.5	66.5	33.25	33.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	134	17	4	67	33.5	33.75	D4	62	4	0.5	0.25	0.25	3	2		3
Carcassi etude1	135	17	4.5	67.5	33.75	34	C4	60	4	0.5	0.25	0.25	1	2		1
Carcassi etude1	136	18	1	68	34	34.25	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	137	18	1.5	68.5	34.25	34.5	G2	43	2	0.5	0.25	0.25	3	6		3
Carcassi etude1	138	18	2	69	34.5	34.75	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	139	18	2.5	69.5	34.75	35	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	140	18	3	70	35	35.25	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	141	18	3.5	70.5	35.25	35.5	F3	53	3	0.5	0.25	0.25	3	4		3
Carcassi etude1	142	18	4	71	35.5	35.75	E3	52	3	0.5	0.25	0.25	2	4		2
Carcassi etude1	143	18	4.5	71.5	35.75	36	D3	50	3	0.5	0.25	0.25	0	4		0
Carcassi etude1	144	19	1	72	36	36.25	C3	48	3	0.5	0.25	0.25	3	5		3
Carcassi etude1	145	19	1.5	72.5	36.25	36.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	146	19	2	73	36.5	36.75	F#4	66	4	0.5	0.25	0.25	1	1		2
Carcassi etude1	147	19	2.5	73.5	36.75	37	G4	67	4	0.5	0.25	0.25	2	1		3
Carcassi etude1	148	19	3	74	37	37.25	A4	69	4	0.5	0.25	0.25	4	1		5
Carcassi etude1	149	19	3.5	74.5	37.25	37.5	G4	67	4	0.5	0.25	0.25	2	1		3
Carcassi etude1	150	19	4	75	37.5	37.75	F#4	66	4	0.5	0.25	0.25	1	1		2
Carcassi etude1	151	19	4.5	75.5	37.75	38	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	152	20	1	76	38	38.25	D#4	63	4	0.5	0.25	0.25	4	2		4
Carcassi etude1	153	20	1.5	76.5	38.25	38.5	B2	47	2	0.5	0.25	0.25	2	5		2
Carcassi etude1	154	20	2	77	38.5	38.75	D#3	51	3	0.5	0.25	0.25	1	4		1
Carcassi etude1	155	20	2.5	77.5	38.75	39	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	156	20	3	78	39	39.25	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	157	20	3.5	78.5	39.25	39.5	A3	57	3	0.5	0.25	0.25	2	3		2
Carcassi etude1	158	20	4	79	39.5	39.75	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	159	20	4.5	79.5	39.75	40	F#3	54	3	0.5	0.25	0.25	4	4		4
Carcassi etude1	160	21	1	80	40	41	E3	52	3	2	0.25	0.25	2	4		2
Carcassi etude1	161	21	1.5	80.5	40.25	40.5	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	162	21	2	81	40.5	40.75	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	163	21	2.5	81.5	40.75	41	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	164	21	3	82	41	41.25	D#4	63	4	0.5	0.25	0.25	4	2		4
Carcassi etude1	165	21	3.5	82.5	41.25	41.5	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	166	21	4	83	41.5	41.75	D#4	63	4	0.5	0.25	0.25	4	2		4
Carcassi etude1	167	21	4.5	83.5	41.75	42	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	168	22	1	84	42	43	D3	50	3	2	0.25	0.25	0	4		0
Carcassi etude1	169	22	1.5	84.5	42.25	42.5	G3	55	3	0.5	0.25	0.25	0	3		0
Carcassi etude1	170	22	2	85	42.5	42.75	B3	59	3	0.5	0.25	0.25	0	2		0
Carcassi etude1	171	22	2.5	85.5	42.75	43	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	172	22	3	86	43	43.25	E4	64	4	0.5	0.25	0.25	0	1		0
Carcassi etude1	173	22	3.5	86.5	43.25	43.5	F4	65	4	0.5	0.25	0.25	1	1		1
Carcassi etude1	174	22	4	87	43.5	43.75	E4	64	4	0.5	0.25	0.25	0	1		0
