data_name,note_id,measure,beat,offset,absolute_time,end_time,pitch,pitch_midi,octave,duration,time_from_prev,time_to_next,fingering,string,pluck,fret
abe etude 25-3 (Yuki)(done),0,0,1.0,0.0,0.0,0.25,E4,64,4,0.5,0.0,0.125,0,1,m,0.0
abe etude 25-3 (Yuki)(done),1,0,1.25,0.25,0.125,0.25,B3,59,3,0.25,0.125,0.125,0,2,i,0.0
abe etude 25-3 (Yuki)(done),2,0,1.5,0.5,0.25,0.375,G4,67,4,0.25,0.125,0.0,1,1,m,3.0
abe etude 25-3 (Yuki)(done),3,0,1.5,0.5,0.25,0.375,E4,64,4,0.25,0.0,0.125,3,2,i,5.0
abe etude 25-3 (Yuki)(done),4,0,1.75,0.75,0.375,0.5,A4,69,4,0.25,0.125,0.0,1,1,m,5.0
abe etude 25-3 (Yuki)(done),5,0,1.75,0.75,0.375,0.5,F#4,66,4,0.25,0.0,0.125,3,2,i,7.0
abe etude 25-3 (Yuki)(done),6,1,2.0,1.0,0.5,0.625,B4,71,4,0.25,0.125,0.0,1,1,m,7.0
abe etude 25-3 (Yuki)(done),7,1,2.0,1.0,0.5,0.75,G4,67,4,0.5,0.0,0.125,2,2,i,8.0
abe etude 25-3 (Yuki)(done),8,1,2.25,1.25,0.625,0.75,E4,64,4,0.25,0.125,0.125,0,1,,0.0
abe etude 25-3 (Yuki)(done),9,1,2.5,1.5,0.75,0.875,B4,71,4,0.25,0.125,0.0,1,1,m,7.0
abe etude 25-3 (Yuki)(done),10,1,2.5,1.5,0.75,1.0,G4,67,4,0.5,0.0,0.125,2,2,i,8.0
abe etude 25-3 (Yuki)(done),11,1,2.75,1.75,0.875,1.0,E4,64,4,0.25,0.125,0.125,0,1,,0.0
abe etude 25-3 (Yuki)(done),12,1,3.0,2.0,1.0,1.125,C5,72,5,0.25,0.125,0.0,1,1,m,8.0
abe etude 25-3 (Yuki)(done),13,1,3.0,2.0,1.0,1.25,A4,69,4,0.5,0.0,0.125,3,2,i,10.0
abe etude 25-3 (Yuki)(done),14,1,3.25,2.25,1.125,1.25,E4,64,4,0.25,0.125,0.125,0,1,,0.0
abe etude 25-3 (Yuki)(done),15,1,3.5,2.5,1.25,1.375,C5,72,5,0.25,0.125,0.0,1,1,m,8.0
abe etude 25-3 (Yuki)(done),16,1,3.5,2.5,1.25,1.5,A4,69,4,0.5,0.0,0.125,3,2,i,10.0
abe etude 25-3 (Yuki)(done),17,1,3.75,2.75,1.375,1.5,E4,64,4,0.25,0.125,0.125,0,1,,0.0
abe etude 25-3 (Yuki)(done),18,2,4.0,3.0,1.5,1.625,B4,71,4,0.25,0.125,0.0,1,1,m,7.0
abe etude 25-3 (Yuki)(done),19,2,4.0,3.0,1.5,1.75,G4,67,4,0.5,0.0,0.125,2,2,i,8.0
abe etude 25-3 (Yuki)(done),20,2,4.25,3.25,1.625,1.75,E4,64,4,0.25,0.125,0.125,0,1,,0.0
abe etude 25-3 (Yuki)(done),21,2,4.5,3.5,1.75,2.0,B4,71,4,0.5,0.125,0.0,1,1,m,7.0
abe etude 25-3 (Yuki)(done),22,2,4.5,3.5,1.75,1.875,G4,67,4,0.25,0.0,0.125,2,2,i,8.0
abe etude 25-3 (Yuki)(done),23,2,4.75,3.75,1.875,2.0,B3,59,3,0.25,0.125,0.125,0,2,,0.0
abe etude 25-3 (Yuki)(done),24,2,1.0,4.0,2.0,2.25,A4,69,4,0.5,0.125,0.0,1,1,m,5.0
abe etude 25-3 (Yuki)(done),25,2,1.0,4.0,2.0,2.125,F#4,66,4,0.25,0.0,0.125,3,2,i,7.0
