data_name	note_id	measure	beat	offset	absolute_time	end_time	pitch	pitch_midi	octave	duration	time_from_prev	time_to_next	fingering	string	pluck	fret
segovia etude 20-1 (Yuki)(done)	0	1	1	0	0	0.5	E4	64	4	1	0	0	0	1	m	0
segovia etude 20-1 (Yuki)(done)	1	1	1	0	0	0.5	C3	48	3	1	0	0	3	5	p	3
segovia etude 20-1 (Yuki)(done)	2	1	1	0	0	0.5	C4	60	4	1	0	0.5	1	2	i	1
segovia etude 20-1 (Yuki)(done)	3	1	2	1	0.5	1	E4	64	4	1	0.5	0	0	1	m	0
segovia etude 20-1 (Yuki)(done)	4	1	2	1	0.5	1	E3	52	3	1	0	0	2	4	p	2
segovia etude 20-1 (Yuki)(done)	5	1	2	1	0.5	1	C4	60	4	1	0	0.5	1	2	i	1
segovia etude 20-1 (Yuki)(done)	6	1	3	2	1	1.5	E4	64	4	1	0.5	0	0	1	m	0
segovia etude 20-1 (Yuki)(done)	7	1	3	2	1	1.5	F3	53	3	1	0	0	3	4	p	3
segovia etude 20-1 (Yuki)(done)	8	1	3	2	1	1.5	C4	60	4	1	0	0.5	1	2	i	1
segovia etude 20-1 (Yuki)(done)	9	2	4	3	1.5	2.5	D4	62	4	2	0.5	0	1	2	m	3
segovia etude 20-1 (Yuki)(done)	10	2	4	3	1.5	2.5	G3	55	3	2	0	0	3	4	p	5
segovia etude 20-1 (Yuki)(done)	11	2	4	3	1.5	2	C4	60	4	1	0	0.5	4	3	i	5
segovia etude 20-1 (Yuki)(done)	12	2	1	4	2	2.5	B3	59	3	1	0.5	0.5	2	3	i	4
segovia etude 20-1 (Yuki)(done)	13	2	2	5	2.5	3	E4	64	4	1	0.5	0	0	1	m	0
segovia etude 20-1 (Yuki)(done)	14	2	2	5	2.5	2.75	F3	53	3	0.5	0	0	3	4	p	3
segovia etude 20-1 (Yuki)(done)	15	2	2	5	2.5	3	C#4	61	4	1	0	0.25	2	2	i	2
segovia etude 20-1 (Yuki)(done)	16	2	2.5	5.5	2.75	3	E3	52	3	0.5	0.25	0.25	1	4	p	2
segovia etude 20-1 (Yuki)(done)	17	3	3	6	3	3.5	F4	65	4	1	0.25	0	1	1	m	1
segovia etude 20-1 (Yuki)(done)	18	3	3	6	3	3.5	D3	50	3	1	0	0	0	4	p	0
segovia etude 20-1 (Yuki)(done)	19	3	3	6	3	3.5	D4	62	4	1	0	0.5	4	2	i	3
segovia etude 20-1 (Yuki)(done)	20	3	4	7	3.5	4	F4	65	4	1	0.5	0	1	1	m	1
segovia etude 20-1 (Yuki)(done)	21	3	4	7	3.5	4	F3	53	3	1	0	0	3	4	p	3
segovia etude 20-1 (Yuki)(done)	22	3	4	7	3.5	4	D4	62	4	1	0	0.5	4	2	i	3
