data_name,pitch,pitch_midi,octave,duration,time_from_prev,time_to_next,fingering,string,pluck,fret
Carcassi etude1,C3,48,3,1,0,0.25,3,5,,3
Carcassi etude1,C4,60,4,0.5,0.25,0.25,1,2,,1
Carcassi etude1,B3,59,3,0.5,0.25,0.25,0,2,,0
Carcassi etude1,A3,57,3,0.5,0.25,0.25,2,3,,2
Carcassi etude1,G3,55,3,0.5,0.25,0.25,0,3,,0
Carcassi etude1,F3,53,3,0.5,0.25,0.25,4,4,,3
Carcassi etude1,E3,52,3,0.5,0.25,0.25,2,4,,2
Carcassi etude1,D3,50,3,0.5,0.25,0.25,0,4,,0
Carcassi etude1,C3,48,3,1,0.25,0.25,3,5,,3
Carcassi etude1,E4,64,4,0.5,0.25,0.25,0,1,,0
Carcassi etude1,D4,62,4,0.5,0.25,0.25,4,2,,3
Carcassi etude1,C4,60,4,0.5,0.25,0.25,1,2,,1
Carcassi etude1,B3,59,3,0.5,0.25,0.25,0,2,,0
Carcassi etude1,A3,57,3,0.5,0.25,0.25,2,3,,2
Carcassi etude1,G3,55,3,0.5,0.25,0.25,0,3,,0
Carcassi etude1,F3,53,3,0.5,0.25,0.25,4,4,,3
Carcassi etude1,E3,52,3,1,0.25,0.25,2,4,,2
Carcassi etude1,G4,67,4,0.5,0.25,0.25,4,1,,3
Carcassi etude1,F4,65,4,0.5,0.25,0.25,1,1,,1
Carcassi etude1,E4,64,4,0.5,0.25,0.25,0,1,,0
Carcassi etude1,D4,62,4,0.5,0.25,0.25,3,2,,3
Carcassi etude1,C4,60,4,0.5,0.25,0.25,1,2,,1
Carcassi etude1,B3,59,3,0.5,0.25,0.25,0,2,,0
Carcassi etude1,A3,57,3,0.5,0.25,0.25,2,3,,2
Carcassi etude1,G3,55,3,0.5,0.25,0.25,0,3,,0
Carcassi etude1,F#3,54,3,0.5,0.25,0.25,4,4,,4
Carcassi etude1,E3,52,3,0.5,0.25,0.25,2,4,,2
Carcassi etude1,D3,50,3,0.5,0.25,0.25,0,4,,0
Carcassi etude1,C3,48,3,0.5,0.25,0.25,3,5,,3
Carcassi etude1,B2,47,2,0.5,0.25,0.25,2,5,,2
Carcassi etude1,A2,45,2,0.5,0.25,0.25,0,5,,0
Carcassi etude1,D3,50,3,0.5,0.25,0.25,0,4,,0
Carcassi etude1,G2,43,2,1,0.25,0.25,3,6,,3
