data_name,pitch,pitch_midi,octave,duration,time_from_prev,time_to_next,fingering,string,pluck,fret
abe etude 25-7,A#2,46,2,0.5,0.25,0.25,2,6,,6
abe etude 25-1,A#3,58,3,2,0,0.5,2,3,,3
abe etude 25-1,A#3,58,3,1,0,0.5,3,3,,3
abe etude 25-2,A#3,58,3,0.5,0.125,0.125,2,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,2,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,2,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,2,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,1,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,1,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,1,3,,3
abe etude 25-2,A#3,58,3,0.25,0.125,0.125,1,3,,3
abe etude 25-2,A#3,58,3,0.25,0,0.125,2,3,,3
abe etude 25-2,A#3,58,3,0.5,0.125,0.125,3,3,,3
abe etude 25-2,A#3,58,3,0.5,0.125,0.125,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,3,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,3,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,1,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,2,0.25,0,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,3,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-6,A#3,58,3,0.5,0.25,0.25,2,3,,3
abe etude 25-10,A#3,58,3,0.0714,0.0357,0.0357,2,3,,3
