pitch_midi,1,2,3,4,5,6
40,,,,,,0
41,,,,,,1
42,,,,,,2
43,,,,,,3
44,,,,,,4
45,,,,,0,5
46,,,,,1,6
47,,,,,2,7
48,,,,,3,8
49,,,,,4,9
50,,,,0,5,10
51,,,,1,6,11
52,,,,2,7,12
53,,,,3,8,13
54,,,,4,9,14
55,,,0,5,10,15
56,,,1,6,11,16
57,,,2,7,12,17
58,,,3,8,13,18
59,,0,4,9,14,19
60,,1,5,10,15,
61,,2,6,11,16,
62,,3,7,12,17,
63,,4,8,13,18,
64,0,5,9,14,19,
65,1,6,10,15,,
66,2,7,11,16,,
67,3,8,12,17,,
68,4,9,13,18,,
69,5,10,14,19,,
70,6,11,15,,,
71,7,12,16,,,
72,8,13,17,,,
73,9,14,18,,,
74,10,15,19,,,
75,11,16,,,,
76,12,17,,,,
77,13,18,,,,
78,14,19,,,,
79,15,,,,,
80,16,,,,,
81,17,,,,,
82,18,,,,,
83,19,,,,,
